name,grade,category,lat,lon
대전글꽃중학교,중학교,대전광역시동부교육지원청,36.31861537,127.4091087
대전장대중학교,중학교,대전광역시서부교육지원청,36.36055807,127.3387935
대전대성고등학교,고등학교,대전광역시동부교육지원청,36.331971,127.4070779
대전서부초등학교,초등학교,대전광역시서부교육지원청,36.33352893,127.3692662
대전만년초등학교,초등학교,대전광역시서부교육지원청,36.36719119,127.3772402
대전삼성초등학교,초등학교,대전광역시동부교육지원청,36.33722146,127.4289706
대전대문중학교,중학교,대전광역시동부교육지원청,36.30807655,127.400752
대전대흥초등학교,초등학교,대전광역시동부교육지원청,36.31972395,127.4259191
남대전고등학교,고등학교,대전광역시동부교육지원청,36.31074837,127.4278195
대전탄방초등학교,초등학교,대전광역시서부교육지원청,36.34604285,127.3909956
대전삼천중학교,중학교,대전광역시서부교육지원청,36.35833529,127.3937223
대전여자중학교,중학교,대전광역시동부교육지원청,36.32525301,127.4255734
대전성모초등학교,초등학교,대전광역시동부교육지원청,36.32246468,127.4182965
대전정림초등학교,초등학교,대전광역시서부교육지원청,36.30354547,127.3665579
우송중학교,중학교,대전광역시동부교육지원청,36.33562875,127.4428489
대전태평중학교,중학교,대전광역시동부교육지원청,36.32955743,127.3974766
호수돈여자중학교,중학교,대전광역시동부교육지원청,36.32671701,127.4144851
대전남선중학교,중학교,대전광역시서부교육지원청,36.36331761,127.372732
대전용전초등학교,초등학교,대전광역시동부교육지원청,36.35622928,127.4303267
대전호수초등학교,초등학교,대전광역시서부교육지원청,36.32039889,127.3502127
대전만년고등학교,고등학교,대전광역시서부교육지원청,36.36726986,127.3729925
대전동문초등학교,초등학교,대전광역시동부교육지원청,36.31425764,127.4061915
대전선유초등학교,초등학교,대전광역시서부교육지원청,36.29494904,127.3409504
대전송촌초등학교,초등학교,대전광역시동부교육지원청,36.36480366,127.444407
대전가양초등학교,초등학교,대전광역시동부교육지원청,36.34236049,127.4415665
대전문창초등학교,초등학교,대전광역시동부교육지원청,36.31746755,127.4329779
대전중앙초등학교,초등학교,대전광역시동부교육지원청,36.33054977,127.4137675
대전옥계초등학교,초등학교,대전광역시동부교육지원청,36.30119915,127.449039
대전원신흥초등학교복용분교장,초등학교,대전광역시서부교육지원청,36.34705159,127.3272243
